halaman1,content
4,"Hubungan industrial adalah suatu sistem hubungan yang terbentuk antara para pelaku dalam proses produksi barang dan/atau jasa yang terdiri dari unsur pengusaha, pekerja/buruh, dan pemerintah yang didasarkan pada nilai nilai Pancasila dan Undang Undang Dasar Negara Republik Indonesia Tahun 1945. 17. Serikat pekerja/serikat buruh adalah organisasi yang dibentuk dari, oleh, dan untuk pekerja/buruh baik di perusahaan maupun di luar perusahaan, yang bersifat bebas, terbuka, mandiri, demokratis, dan bertanggung jawab guna memperjuangkan, membela serta melindungi hak dan kepentingan pekerja/buruh serta meningkatkan kesejahteraan pekerja/buruh dan keluarganya."
4,Lembaga kerja sama bipartit adalah forum komunikasi dan konsultasi mengenai hal-hal yang berkaitan dengan hubungan industrial di satu perusahaan yang anggotanya terdiri dari pengusaha dan serikat pekerja/ serikat buruh yang sudah tercatat instansi yang bertanggung jawab di bidang ketenagakerjaan atau unsur pekerja/buruh.
4,"Lembaga kerja sama tripartit adalah forum komunikasi, konsultasi dan musyawarah tentang masalah ketenagakerjaan yang anggotanya terdiri dari unsur organisasi pengusaha, serikat pekerja/serikat buruh, dan pemerintah."
5,Peraturan perusahaan adalah peraturan yang dibuat secara tertulis oleh pengusaha yang memuat syarat syarat kerja dan tata tertib perusahaan.
5,"Perjanjian kerja bersama adalah perjanjian yang merupakan hasil perundingan antara serikat pekerja/serikat buruh atau beberapa serikat pekerja/serikat buruh yang tercatat pada instansi yang bertanggung jawab di bidang ketenagakerjaan dengan pengusaha, atau beberapa pengusaha atau perkumpulan pengusaha yang memuat syarat syarat kerja, hak dan kewajiban kedua belah pihak."
5,"Perselisihan hubungan industrial adalah perbedaan pendapat yang mengakibatkan pertentangan antara pengusaha atau gabungan pengusaha dengan pekerja/buruh atau serikat pekerja/serikat buruh karena adanya perselisihan mengenai hak, perselisihan kepentingan, dan perselisihan pemutusan hubungan kerja serta perselisihan antar serikat pekerja/serikat buruh hanya dalam satu perusahaan."
5,Mogok kerja adalah tindakan pekerja/buruh yang direncanakan dan dilaksanakan secara bersama-sama dan/atau oleh serikat pekerja/serikat buruh untuk menghentikan atau memperlambat pekerjaan.
5,Penutupan perusahaan (lock out) adalah tindakan pengusaha untuk menolak pekerja/buruh seluruhnya atau sebagian untuk menjalankan pekerjaan.
5,Pemutusan hubungan kerja adalah pengakhiran hubungan kerja karena suatu hal tertentu yang mengakibatkan berakhirnya hak dan kewajiban antara pekerja/buruh dan pengusaha.
5,Anak adalah setiap orang yang berumur di bawah 18 (delapan belas) tahun.
5,Siang hari adalah waktu antara pukul 06.00 sampai dengan pukul 18.00.
5,1 (satu) hari adalah waktu selama 24 (dua puluh empat) jam.
5,Seminggu adalah waktu selama 7 (tujuh) hari.
5,"Upah adalah hak pekerja/buruh yang diterima dan dinyatakan dalam bentuk uang sebagai imbalan dari pengusaha atau pemberi kerja kepada pekerja/buruh yang ditetapkan dan dibayarkan menurut suatu perjanjian kerja, kesepakatan, atau peraturan perundang-undangan, termasuk tunjangan bagi pekerja/buruh dan keluarganya atas suatu pekerjaan dan/atau jasa yang telah atau akan dilakukan."
6,"Kesejahteraan pekerja/buruh adalah suatu pemenuhan kebutuhan dan/atau keperluan yang bersifat jasmaniah dan rohaniah, baik di dalam maupun di luar hubungan kerja, yang secara langsung atau tidak langsung dapat mempertinggi produktivitas kerja dalam lingkungan kerja yang aman dan sehat."
6,Pengawasan ketenagakerjaan adalah kegiatan mengawasi dan menegakkan pelaksanaan peraturan perundang-undangan di bidang ketenagakerjaan.
6,Menteri adalah menteri yang bertanggung jawab di bidang ketenagakerjaan.
6,"LANDASAN, ASAS, DAN TUJUAN"
6,Pembangunan ketenagakerjaan berlandaskan Pancasila dan Undang Undang Dasar Negara Republik Indonesia Tahun 1945.
6,Pembangunan ketenagakerjaan diselenggarakan atas asas keterpaduan dengan melalui koordinasi fungsional lintas sektoral pusat dan daerah.
6,"Pembangunan ketenagakerjaan bertujuan:
a. memberdayakan dan mendayagunakan tenaga kerja secara optimal dan manusiawi;
b. mewujudkan pemerataan kesempatan kerja dan penyediaan tenaga kerja yang sesuai dengan kebutuhan pembangunan nasional dan daerah;
c. memberikan perlindungan kepada tenaga kerja dalam mewujudkan kesejahteraan; dan
d. meningkatkan kesejahteraan tenaga kerja dan keluarganya."
7,KESEMPATAN DAN PERLAKUAN YANG SAMA
7,Setiap tenaga kerja memiliki kesempatan yang sama tanpa diskriminasi untuk memperoleh pekerjaan.
7,Setiap pekerja/buruh berhak memperoleh perlakuan yang sama tanpa diskriminasi dari pengusaha.
7,PERENCANAAN TENAGA KERJA DAN INFORMASI KETENAGAKERJAAN
7,(NULL)
7,"Dalam rangka pembangunan ketenagakerjaan, pemerintah menetapkan kebijakan dan menyusun perencanaan tenaga kerja."
7,"Perencanaan tenaga kerja meliputi:
a. perencanaan tenaga kerja makro; dan
b. perencanaan tenaga kerja mikro."
7,"Dalam penyusunan kebijakan, strategi, dan pelaksanaan program pembangunan ketenagakerjaan yang berkesinambungan, pemerintah harus berpedoman pada perencanaan tenaga kerja sebagaimana dimaksud dalam ayat (1)."
7,"(1) Perencanaan tenaga kerja disusun atas dasar informasi ketenagakerjaan yang antara lain meliputi:
a. penduduk dan tenaga kerja;
b. kesempatan kerja;
c. pelatihan kerja termasuk kompetensi kerja;
d. produktivitas tenaga kerja;"
8,"e. hubungan industrial; f. kondisi lingkungan kerja;
g. pengupahan dan kesejahteraan tenaga kerja; dan
h. jaminan sosial tenaga kerja."
8,"Informasi ketenagakerjaan sebagaimana dimaksud dalam ayat (1), diperoleh dari semua pihak yang terkait, baik instansi pemerintah maupun swasta."
8,Ketentuan mengenai tata cara memperoleh informasi ketenagakerjaan dan penyusunan serta pelaksanaan perencanaan tenaga kerja sebagaimana dimaksud dalam ayat (1) diatur dengan Peraturan Pemerintah.
8,PELATIHAN KERJA
8,"Pelatihan kerja diselenggarakan dan diarahkan untuk membekali, meningkatkan, dan mengembangkan kompetensi kerja guna meningkatkan kemampuan, produktivitas, dan kesejahteraan."
8,(NULL)
8,"Pelatihan kerja dilaksanakan dengan memperhatikan kebutuhan pasar kerja dan dunia usaha, baik di dalam maupun di luar hubungan kerja."
8,Pelatihan kerja diselenggarakan berdasarkan program pelatihan yang mengacu pada standar kompetensi kerja.
8,Pelatihan kerja dapat dilakukan secara berjenjang.
8,Ketentuan mengenai tata cara penetapan standar kompetensi kerja sebagaimana dimaksud dalam ayat (2) diatur dengan Keputusan Menteri.
8,"Setiap tenaga kerja berhak untuk memperoleh dan/atau meningkatkan dan/atau mengembangkan kompetensi kerja sesuai dengan bakat, minat, dan kemampuannya melalui pelatihan kerja."
9,(NULL)
9,Pengusaha bertanggung jawab atas peningkatan dan/atau pengembangan kompetensi pekerjanya melalui pelatihan kerja.
9,Peningkatan dan/atau pengembangan kompetensi sebagaimana dimaksud dalam ayat (1) diwajibkan bagi pengusaha yang memenuhi persyaratan yang diatur dengan Keputusan Menteri.
9,Setiap pekerja/buruh memiliki kesempatan yang sama untuk mengikuti pelatihan kerja sesuai dengan bidang tugasnya.
9,(NULL)
9,Pelatihan kerja diselenggarakan oleh lembaga pelatihan kerja pemerintah dan/atau lembaga pelatihan kerja swasta.
9,Pelatihan kerja dapat diselenggarakan di tempat pelatihan atau tempat kerja.
9,Lembaga pelatihan kerja pemerintah sebagaimana dimaksud dalam ayat (1) dalam menyelenggarakan pe-latihan kerja dapat bekerja sama dengan swasta.
9,(NULL)
9,Lembaga pelatihan kerja swasta dapat berbentuk badan hukum Indonesia atau perorangan.
9,Lembaga pelatihan kerja swasta sebagaimana dimaksud dalam ayat (1) wajib memperoleh izin atau men daftar ke instansi yang bertanggung jawab di bidang ketenagakerjaan di kabupaten/kota.
9,Lembaga pelatihan kerja yang diselenggarakan oleh instansi pemerintah mendaftarkan kegiatannya kepada instansi yang bertanggung jawab di bidang ketenagakerjaan di kabupaten/kota.
9,Ketentuan mengenai tata cara perizinan dan pendaftaran lembaga pelatihan kerja sebagaimana dimaksud dalam ayat (2) dan ayat (3) diatur dengan Keputusan Menteri.
10,"Penyelenggara pelatihan kerja wajib memenuhi persyaratan:
a. tersedianya tenaga kepelatihan;
b. adanya kurikulum yang sesuai dengan tingkat pelatihan;
c. tersedianya sarana dan prasarana pelatihan kerja; dan
d. tersedianya dana bagi kelangsungan kegiatan penyelenggaraan pelatihan kerja."
10,(NULL)
10,Lembaga pelatihan kerja swasta yang telah memperoleh izin dan lembaga pelatihan kerja pemerintah yang telah terdaftar dapat memperoleh akreditasi dari lembaga akreditasi.
10,Lembaga akreditasi sebagaimana dimaksud dalam ayat (1) bersifat independen terdiri atas unsur masya rakat dan pemerintah ditetapkan dengan Keputusan Menteri.
10,Organisasi dan tata kerja lembaga akreditasi sebagaimana dimaksud dalam ayat (2) diatur dengan Keputusan Menteri.
10,(NULL)
10,"Instansi yang bertanggung jawab di bidang ketenagakerjaan di kabupaten/kota dapat menghentikan sementara pelaksanaan penyelenggaraan pelatihan kerja, apabila dalam pelaksanaannya ternyata:
a. tidak sesuai dengan arah pelatihan kerja sebagaimana dimaksud dalam Pasal 9; dan/atau
b. tidak memenuhi persyaratan sebagaimana dimaksud dalam Pasal 15."
10,"Penghentian sementara pelaksanaan penyelenggaraan pelatihan kerja sebagaimana dimaksud dalam ayat (1), disertai alasan dan saran perbaikan dan berlaku paling lama 6 (enam) bulan."
10,Penghentian sementara pelaksanaan penyelenggaraan pelatihan kerja hanya dikenakan terhadap program pelatihan yang tidak memenuhi syarat sebagaimana dimaksud dalam Pasal 9 dan Pasal 15.
11,Bagi penyelenggara pelatihan kerja dalam waktu 6 (enam) bulan tidak memenuhi dan melengkapi saran per baikan sebagaimana dimaksud dalam ayat (2) dikenakan sanksi penghentian program pelatihan.
11,Penyelenggara pelatihan kerja yang tidak menaati dan tetap melaksanakan program pelatihan kerja yang telah dihentikan sebagaimana dimaksud dalam ayat (4) dikenakan sanksi pencabutan izin dan pembatalan pendaftaran penyelenggara pelatihan.
11,"Ketentuan mengenai tata cara penghentian sementara, penghentian, pencabutan izin, dan pembatalan pen daftaran diatur dengan Keputusan Menteri."
11,(NULL)
11,"Tenaga kerja berhak memperoleh pengakuan kompetensi kerja setelah mengikuti pelatihan kerja yang di selenggarakan lembaga pelatihan kerja pemerintah, lembaga pelatihan kerja swasta, atau pelatihan di tempat kerja."
11,Pengakuan kompetensi kerja sebagaimana dimaksud dalam ayat (1) dilakukan melalui sertifikasi kompetensi kerja.
11,Sertifikasi kompetensi kerja sebagaimana dimaksud dalam ayat (2) dapat pula diikuti oleh tenaga kerja yang telah berpengalaman.
11,Untuk melaksanakan sertifikasi kompetensi kerja dibentuk badan nasional sertifikasi profesi yang independen.
11,Pembentukan badan nasional sertifikasi profesi yang independen sebagaimana dimaksud dalam ayat (4) diatur dengan Peraturan Pemerintah.
11,"Pelatihan kerja bagi tenaga kerja penyandang cacat dilaksanakan dengan memperhatikan jenis, derajat kecacatan, dan kemampuan tenaga kerja penyandang cacat yang bersangkutan."
11,(NULL)
11,"Untuk mendukung peningkatan pelatihan kerja dalam rangka pembangunan ketenagakerjaan, dikembangkan satu sistem pelatihan kerja nasional yang merupakan acuan pelaksanaan pelatihan kerja di semua bidang dan/atau sektor."
12,"Ketentuan mengenai bentuk, mekanisme, dan kelembagaan sistem pelatihan kerja nasional sebagaimana dimaksud dalam ayat (1) diatur dengan Peraturan Pemerintah."
12,Pelatihan kerja dapat diselenggarakan dengan sistem pemagangan.
12,(NULL)
12,Pemagangan dilaksanakan atas dasar perjanjian pemagangan antara peserta dengan pengusaha yang di buat secara tertulis.
12,"Perjanjian pemagangan sebagaimana dimaksud dalam ayat (1), sekurang-kurangnya memuat ketentuan hak dan kewajiban peserta dan pengusaha serta jangka waktu pemagangan."
12,"Pemagangan yang diselenggarakan tidak melalui perjanjian pemagangan sebagaimana dimaksud dalam ayat (1), dianggap tidak sah dan status peserta berubah menjadi pekerja/buruh perusahaan yang bersangkutan."
12,Tenaga kerja yang telah mengikuti program pemagangan berhak atas pengakuan kualifikasi kompetensi kerja dari perusahaan atau lembaga sertifikasi.
12,"Pemagangan dapat dilaksanakan di perusahaan sendiri atau di tempat penyelenggaraan pelatihan kerja, atau perusahaan lain, baik di dalam maupun di luar wilayah Indonesia."
12,(NULL)
12,Pemagangan yang dilakukan di luar wilayah Indonesia wajib mendapat izin dari Menteri atau pejabat yang ditunjuk.
12,"Untuk memperoleh izin sebagaimana dimaksud dalam ayat (1), penyelenggara pemagangan harus ber bentuk badan hukum Indonesia sesuai dengan peraturan perundang-undangan yang berlaku."
13,"Ketentuan mengenai tata cara perizinan pemagangan di luar wilayah Indonesia sebagaimana dimaksud dalam ayat (1) dan ayat (2), diatur dengan Keputusan Menteri."
13,(NULL)
13,"Penyelenggaraan pemagangan di luar wilayah Indonesia harus memperhatikan:
a. harkat dan martabat bangsa Indonesia;
b. penguasaan kompetensi yang lebih tinggi; dan
c. perlindungan dan kesejahteraan peserta pemagangan, termasuk melaksanakan ibadahnya."
13,Menteri atau pejabat yang ditunjuk dapat menghentikan pelaksanaan pemagangan di luar wilayah Indonesia apabila di dalam pelaksanaannya ternyata tidak sesuai dengan ketentuan sebagaimana dimaksud dalam ayat (1).
13,(NULL)
13,Menteri dapat mewajibkan kepada perusahaan yang memenuhi persyaratan untuk melaksanakan program pemagangan.
13,"Dalam menetapkan persyaratan sebagaimana dimaksud dalam ayat (1), Menteri harus memperhatikan ke pentingan perusahaan, masyarakat, dan negara."
13,(NULL)
13,Untuk memberikan saran dan pertimbangan dalam penetapan kebijakan serta melakukan koordinasi pelatihan kerja dan pemagangan dibentuk lembaga koordinasi pelatihan kerja nasional.
13,"Pembentukan, keanggotaan, dan tata kerja lembaga koordinasi pelatihan kerja sebagaimana dimaksud da lam ayat (1), diatur dengan Keputusan Presiden."
14,(NULL)
14,Pemerintah Pusat dan/atau Pemerintah Daerah melakukan pembinaan pelatihan kerja dan pemagangan.
14,"Pembinaan pelatihan kerja dan pemagangan ditujukan ke arah peningkatan relevansi, kualitas, dan efisien si penyelenggaraan pelatihan kerja dan produktivitas."
14,"Peningkatan produktivitas sebagaimana dimaksud dalam ayat (2), dilakukan melalui pengembangan budaya produktif, etos kerja, teknologi, dan efisiensi kegiatan ekonomi, menuju terwujudnya produktivitas nasional."
14,(NULL)
14,Untuk meningkatkan produktivitas sebagaimana dimaksud dalam Pasal 29 ayat (2) dibentuk lembaga produktivitas yang bersifat nasional.
14,"Lembaga produktivitas sebagaimana dimaksud dalam ayat (1) berbentuk jejaring kelembagaan pelayanan peningkatan produktivitas, yang bersifat lintas sektor maupun daerah."
14,"Pembentukan, keanggotaan, dan tata kerja lembaga produktivitas nasional sebagaimana dimaksud dalam ayat (1), diatur dengan Keputusan Presiden."
14,PENEMPATAN TENAGA KERJA
14,"Setiap tenaga kerja mempunyai hak dan kesempatan yang sama untuk memilih, mendapatkan, atau pindah pekerjaan dan memperoleh penghasilan yang layak di dalam atau di luar negeri."
14,(NULL)
14,"Penempatan tenaga kerja dilaksanakan berdasarkan asas terbuka, bebas, obyektif, serta adil, dan setara tanpa diskriminasi."
15,"Penempatan tenaga kerja diarahkan untuk menempatkan tenaga kerja pada jabatan yang tepat sesuai dengan keahlian, keterampilan, bakat, minat, dan kemampuan dengan memperhatikan harkat, martabat, hak asasi, dan perlindungan hukum."
15,Penempatan tenaga kerja dilaksanakan dengan memperhatikan pemerataan kesempatan kerja dan penyediaan tenaga kerja sesuai dengan kebutuhan program nasional dan daerah.
15,"Penempatan tenaga kerja terdiri dari:
a. penempatan tenaga kerja di dalam negeri; dan
b. penempatan tenaga kerja di luar negeri."
15,Ketentuan mengenai penempatan tenaga kerja di luar negeri sebagaimana dimaksud dalam Pasal 33 huruf b diatur dengan undang-undang.
15,(NULL)
15,Pemberi kerja yang memerlukan tenaga kerja dapat merekrut sendiri tenaga kerja yang dibutuhkan atau melalui pelaksana penempatan tenaga kerja.
15,"Pelaksana penempatan tenaga kerja sebagaimana dimaksud dalam ayat (1) wajib memberikan perlindungan sejak rekrutmen sampai penempatan tenaga kerja (3) Pemberi kerja sebagaimana dimaksud dalam ayat (1) dalam mempekerjakan tenaga kerja wajib memberi kan perlindungan yang mencakup kesejahteraan, keselamatan, dan kesehatan baik mental maupun fisik tenaga kerja."
15,(NULL)
15,Penempatan tenaga kerja oleh pelaksana sebagaimana dimaksud dalam Pasal 35 ayat (1) dilakukan dengan memberikan pelayanan penempatan tenaga kerja.
16,"Pelayanan penempatan tenaga kerja sebagaimana dimaksud dalam ayat (1) bersifat terpadu dalam satu sistem penempatan tenaga kerja yang meliputi unsur-unsur:
a. pencari kerja;
b. lowongan pekerjaan;
c. informasi pasar kerja;
d. mekanisme antar kerja; dan
e. kelembagaan penempatan tenaga kerja."
16,Unsur-unsur sistem penempatan tenaga kerja sebagaimana dimaksud dalam ayat (2) dapat dilaksanakan secara terpisah yang ditujukan untuk terwujudnya penempatan tenaga kerja.
16,(NULL)
16,"Pelaksana penempatan tenaga kerja sebagaimana dimaksud dalam Pasal 35 ayat (1) terdiri dari:
a. instansi pemerintah yang bertanggung jawab di bidang ketenagakerjaan; dan
b. lembaga swasta berbadan hukum."
16,Lembaga penempatan tenaga kerja swasta sebagaimana dimaksud dalam ayat (1) huruf b dalam melaksanakan pelayanan penempatan tenaga kerja wajib memiliki izin tertulis dari Menteri atau pejabat yang ditunjuk.
16,(NULL)
16,"Pelaksana penempatan tenaga kerja sebagaimana dimaksud dalam Pasal 37 ayat (1) huruf a, dilarang memungut biaya penempatan, baik langsung maupun tidak langsung, sebagian atau keseluruhan kepada tenaga kerja dan pengguna tenaga kerja."
16,"Lembaga penempatan tenaga kerja swasta sebagaimana dimaksud dalam Pasal 37 ayat (1) huruf b, hanya dapat memungut biaya penempatan tenaga kerja dari pengguna tenaga kerja dan dari tenaga kerja golongan dan jabatan tertentu."
16,Golongan dan jabatan sebagaimana dimaksud dalam ayat (2) ditetapkan dengan Keputusan Menteri.
17,PERLUASAN KESEMPATAN KERJA
17,(NULL)
17,Pemerintah bertanggung jawab mengupayakan perluasan kesempatan kerja baik di dalam maupun di luar hubungan kerja.
17,Pemerintah dan masyarakat bersama-sama mengupayakan perluasan kesempatan kerja baik di dalam maupun di luar hubungan kerja.
17,Semua kebijakan pemerintah baik pusat maupun daerah di setiap sektor diarahkan untuk mewujudkan perluasan kesempatan kerja baik di dalam maupun di luar hubungan kerja.
17,"Lembaga keuangan baik perbankan maupun non-perbankan, dan dunia usaha perlu membantu dan memberikan kemudahan bagi setiap kegiatan masyarakat yang dapat menciptakan atau mengembangkan perluasan kesempatan kerja."
17,(NULL)
17,"Perluasan kesempatan kerja di luar hubungan kerja dilakukan melalui penciptaan kegiatan yang produktif dan berkelanjutan dengan mendayagunakan potensi sumber daya alam, sumber daya manusia dan teknologi tepat guna."
17,"Penciptaan perluasan kesempatan kerja sebagaimana dimaksud dalam ayat (1) dilakukan dengan pola pembentukan dan pembinaan tenaga kerja mandiri, penerapan sistem padat karya, penerapan teknologi tepat guna, dan pendayagunaan tenaga kerja sukarela atau pola lain yang dapat mendorong terciptanya perluasan kesempatan kerja."
17,(NULL)
17,Pemerintah menetapkan kebijakan ketenagakerjaan dan perluasan kesempatan kerja.
17,Pemerintah dan masyarakat bersama-sama mengawasi pelaksanaan kebijakan sebagaimana dimaksud dalam ayat (1).
18,Dalam melaksanakan tugas sebagaimana dimaksud dalam ayat (2) dapat dibentuk badan koordinasi yang beranggotakan unsur pemerintah dan unsur masyarakat.
18,"Ketentuan mengenai perluasan kesempatan kerja, dan pembentukan badan koordinasi sebagaimana dimaksud dalam Pasal 39, Pasal 40, dan ayat (3) dalam pasal ini diatur dengan Peraturan Pemerintah."
18,PENGGUNAAN TENAGA KERJA ASING
18,(NULL)
18,Setiap pemberi kerja yang mempekerjakan tenaga kerja asing wajib memiliki izin tertulis dari Menteri atau pejabat yang ditunjuk.
18,Pemberi kerja orang perseorangan dilarang mempekerjakan tenaga kerja asing.
18,"Kewajiban memiliki izin sebagaimana dimaksud dalam ayat (1), tidak berlaku bagi perwakilan negara asing yang mempergunakan tenaga kerja asing sebagai pegawai diplomatik dan konsuler."
18,Tenaga kerja asing dapat dipekerjakan di Indonesia hanya dalam hubungan kerja untuk jabatan tertentu dan waktu tertentu.
18,Ketentuan mengenai jabatan tertentu dan waktu tertentu sebagaimana dimaksud dalam ayat (4) ditetapkan dengan Keputusan Menteri.
18,Tenaga kerja asing sebagaimana dimaksud dalam ayat (4) yang masa kerjanya habis dan tidak dapat diperpanjang dapat digantikan oleh tenaga kerja asing lainnya.
18,(NULL)
18,Pemberi kerja yang menggunakan tenaga kerja asing harus memiliki rencana penggunaan tenaga kerja asing yang disahkan oleh Menteri atau pejabat yang ditunjuk.
18,"Rencana penggunaan tenaga kerja asing sebagaimana dimaksud dalam ayat (1) sekurang-kurangnya memuat keterangan:
a. alasan penggunaan tenaga kerja asing;"
19,"b. jabatan dan/atau kedudukan tenaga kerja asing dalam struktur organisasi perusahaan yang bersangkutan;
c. jangka waktu penggunaan tenaga kerja asing; dan
d. penunjukan tenaga kerja warga negara Indonesia sebagai pendamping tenaga kerja asing yang dipekerjakan."
19,"Ketentuan sebagaimana dimaksud dalam ayat (1) tidak berlaku bagi instansi pemerintah, badan-badan internasional dan perwakilan negara asing."
19,Ketentuan mengenai tata cara pengesahan rencana penggunaan tenaga kerja asing diatur dengan Keputusan Menteri.
19,(NULL)
19,Pemberi kerja tenaga kerja asing wajib menaati ketentuan mengenai jabatan dan standar kompetensi yang berlaku.
19,Ketentuan mengenai jabatan dan standar kompetensi sebagaimana dimaksud dalam ayat (1) diatur dengan Keputusan Menteri.
19,(NULL)
19,"Pemberi kerja tenaga kerja asing wajib:
a. menunjuk tenaga kerja warga negara Indonesia sebagai tenaga pendamping tenaga kerja asing yang dipekerjakan untuk alih teknologi dan alih keahlian dari tenaga kerja asing; dan
b. melaksanakan pendidikan dan pelatihan kerja bagi tenaga kerja Indonesia sebagaimana dimaksud pada huruf a yang sesuai dengan kualifikasi jabatan yang diduduki oleh tenaga kerja asing."
19,Ketentuan sebagaimana dimaksud dalam ayat (1) tidak berlaku bagi tenaga kerja asing yang menduduki ja batan direksi dan/atau komisaris.
19,(NULL)
19,Tenaga kerja asing dilarang menduduki jabatan yang mengurusi personalia dan/atau jabatan-jabatan tertentu.
